lmd,mu,kpa,bta,result,%
1,0,0,0,-1.447,1.168
0,0,0.15,0.1,-3.268,1.259
0,0.34,0.15,0.31,-2.828,1.325
0,0.05,0,0.25,-2.605,1.327
0.27,0.48,0.41,-0.02,-0.099,1.508
0,0.54,0,0.17,-2.479,1.683
0,0.97,0.18,-0.4,-2.651,1.351
0.656,0.3011,0.2489,0.0217,-1.278,1.241
0.7185,0.9886,0.4676,-0.1658,-1.11,1.168
0.2185,0.4886,0.2176,0.3342,-0.799,1.248
0.4685,0.7386,0.0926,0.0842,-2.987,1.514
0.9685,0.2386,0.3426,-0.4158,-1.493,1.129
0.8435,0.8636,0.2801,-0.2908,-2.71,1.623
0.3435,0.3636,0.0301,0.2092,-2.098,1.774
0.0935,0.1136,0.4051,-0.0408,-1.194,1.133
0.4935,0.6136,0.1551,0.4592,-2.139,1.433
0.6247,0.1448,0.2332,-0.4471,-1.922,1.424
0.1247,0.6448,0.4832,0.0529,-0.273,1.4
0.3747,0.8948,0.3582,0.3029,-1.423,1.136
0.8747,0.3948,0.1082,-0.1971,-2.31,1.217
0.9997,0.7698,0.0457,0.4279,-2.384,1.53
0.4997,0.2698,0.2957,-0.0721,-0.278,1.732
0.2497,0.0198,0.1707,0.1779,-2.706,1.322
0.7497,0.5198,0.4207,-0.3221,-0.718,1.266
0.6872,0.8323,0.077,-0.0096,-2.435,1.47
0.1872,0.3323,0.327,0.4904,-1.057,1.284
0.4372,0.0823,0.452,-0.2596,-0.504,1.605
0.9372,0.5823,0.202,0.2404,-2.767,1.502
0.8122,0.9573,0.3895,0.1154,-1.351,1.165
0.3122,0.4573,0.1395,-0.3846,-2.405,1.764
0.0622,0.7073,0.2645,-0.1346,-1.349,1.18
0.5622,0.2073,0.0145,0.3654,-2.761,1.848
0.5778,0.9417,0.116,-0.2752,-2.533,1.291
0.0778,0.4417,0.366,0.2248,-0.616,1.086
0.3278,0.6917,0.491,-0.0252,-0.486,0.963
0.8278,0.1917,0.241,0.4748,-1.588,1.337
0.9528,0.8167,0.4285,-0.1502,-1.663,1.608
0.4528,0.3167,0.1785,0.3498,-1.387,1.3
0.2028,0.0667,0.3035,0.0998,-1.055,1.234
0.7028,0.5667,0.0535,-0.4002,-1.252,1.047
0.7653,0.7542,0.2098,0.2873,-2.111,1.373
0.2653,0.2542,0.4598,-0.2127,-0.35,1.112
0.5153,0.0042,0.3348,-0.4627,-1.596,1.237
0.0153,0.5042,0.0848,0.0373,-2.691,1.551
0.8903,0.1292,0.0223,0.1623,-1.895,1.266
0.3903,0.6292,0.2723,-0.3377,-1.557,1.7
0.1403,0.8792,0.1473,0.4123,-2.74,1.454
0.6403,0.3792,0.3973,-0.0877,-0.313,1.552
0.6091,0.9105,0.4442,0.1311,-1.149,1.168
0.1091,0.4105,0.1942,-0.3689,-2.45,1.947
0.3591,0.1605,0.0692,-0.1189,-3.358,1.597
0.8591,0.6605,0.3192,0.3811,-1.57,1.323
0.9841,0.0355,0.2567,0.0061,-1.911,1.173
0.4841,0.5355,0.0067,-0.4939,-0.583,0.954
0.2341,0.7855,0.3817,-0.2439,-1.132,1.155
0.7341,0.2855,0.1317,0.2561,-2.399,1.356
0.6716,0.098,0.3504,0.4436,-0.945,1.15
0.1716,0.598,0.1004,-0.0564,-2.506,1.603
0.4216,0.848,0.2254,0.1936,-1.842,1.173
0.9216,0.348,0.4754,-0.3064,-0.738,1.175
0.7966,0.723,0.1629,-0.4314,-2.495,1.531
0.2966,0.223,0.4129,0.0686,-0.224,1.436
0.0466,0.973,0.0379,0.3186,-3.354,1.708
0.5466,0.473,0.2879,-0.1814,-0.945,1.516
0.5544,0.0745,0.034,-0.0486,-2.099,1.223
0.0544,0.5745,0.284,0.4514,-1.212,1.109
0,0,0.0512,0.0497,-3.66,1.302
0.8044,0.3245,0.409,0.2014,-0.714,1.191
0.9294,0.6995,0.2215,0.0764,-2.834,1.531
0.4294,0.1995,0.4715,-0.4236,-0.336,1.384
0.1794,0.9495,0.3465,-0.1736,-1.585,1.155
0.6794,0.4495,0.0965,0.3264,-2.413,1.726
0.7419,0.887,0.3778,-0.3611,-1.674,1.347
0.2419,0.387,0.1278,0.1389,-1.813,1.497
0.4919,0.137,0.2528,0.3889,-1.255,1.206
0.9919,0.637,0.0028,-0.1111,-1.139,1.016
0.8669,0.012,0.0653,-0.4861,-1.46,1.057
0.0569,0.052,0.0512,0.0497,-4.221,1.459
0.0892,0.037,0.0775,-0.2433,-3.433,1.137
0.0154,0.0169,0.1156,0.4808,-3.48,1.526
0.0365,0.0971,0.1122,-0.4136,-3.298,1.225
0.0286,0.049,0.0941,0.1386,-3.978,1.452
0.2155,0.0336,0.0788,0.3621,-3.09,1.578
0.3555,0.9662,0.0505,0.3885,-3.214,1.837
0.9954,0.9938,0.2033,-0.4568,-2.407,1.446
0.0192,0.1021,0.0932,-0.0007,-4.04,1.523
0.0224,0.117,0.0759,0.0148,-3.916,1.474
0.0117,0.9752,0.0228,-0.4498,-1.13,0.883
0.0043,0.7764,0.026,0.4943,-2.6,1.94
0.0192,0.1021,0.0932,-0.0007,-3.89,1.399
0.9374,0.972,0.1505,0.43,-2.597,1.703
0.0095,0.1641,0.0216,-0.2375,-1.599,0.884
0.2626,0.0002,0.1035,-0.0358,-3.118,1.406
0.0286,0.049,0.0941,0.1386,-4.008,1.475
0.0148,0.0626,0.0689,0.2224,-4.276,1.695
